,RES_value,percentile,COM_value,IND_value
0,63079.85,0,0.0,0.0
1,74708.70000000001,1,0.0,0.0
2,81608.0,2,6862.439999999993,77338.56
3,87951.0,3,45280.23999999999,99603.15999999999
4,93719.0,4,59714.20000000001,116837.4
5,99775.5,5,79172.0,122478.16
6,106178.0,6,95567.68000000001,133544.68
7,113449.8,7,109443.0,151133.44
8,121781.30000000002,8,119638.19999999998,157407.71999999997
9,130923.0,9,126204.20000000001,162910.6
10,140006.0,10,140173.08000000002,173954.72
11,150587.0,11,151360.76,179259.32
12,163321.15,12,165441.48,186229.44
13,175594.50000000003,13,178368.96000000002,194969.56
14,188842.0,14,201225.0,198250.4
15,204394.00000000003,15,213277.44,208401.2
16,218437.95,16,226300.52000000002,216548.4
17,231553.90000000002,17,243381.7199999999,221467.48
18,245375.15,18,260812.0,229041.2
19,258848.0,19,281638.6000000001,235247.0
20,272276.6,20,301140.6,243344.87999999995
21,283432.9,21,319536.88000000006,255452.72
22,297149.0,22,336826.04000000004,259403.56
23,308794.0,23,356942.72,290892.04
24,321185.75,24,370794.0,311951.0
25,333330.7,25,396495.8400000001,316660.44
26,344439.0,26,415530.04000000004,335718.67999999993
27,357225.2,27,435713.52000000014,369616.32000000007
28,367702.89999999997,28,449540.31999999995,388582.31999999995
29,378450.0,29,473848.7999999999,399820.0
30,389308.70000000007,30,494877.79999999993,418267.76
31,401388.2,31,524810.0,441823.19999999995
32,413324.35,32,546989.96,460422.92000000004
33,425859.0,33,566995.4400000001,495604.04000000015
34,437226.5,34,598833.9999999998,521122.0
35,448118.4,35,629636.0,540605.0799999998
36,459448.15,36,657456.7999999996,564001.5199999998
37,470528.0,37,685694.3200000002,587849.8
38,481136.59999999986,38,714150.5600000002,599675.6000000001
39,493432.0,39,746930.6000000002,619957.6
40,505645.79999999993,40,776452.0,644214.44
41,517634.4999999999,41,802000.0,668563.44
42,530302.85,42,832108.0399999999,687769.3600000001
43,542280.7999999999,43,859197.44,709523.76
44,554111.5,44,887414.0,730695.8
45,567240.8,45,923974.9600000002,756059.92
46,580008.0,46,965047.8799999999,791556.6399999999
47,592035.0,47,1007842.3199999998,848849.52
48,606900.0,48,1044488.44,887292.5999999999
49,622468.5,49,1074436.0,914193.0
50,635659.0,50,1113771.0,953965.44
51,649167.0,51,1157961.2,974032.0
52,663214.4000000001,52,1205816.12,980307.4800000001
53,678060.0,53,1249556.2799999998,1021099.3999999999
54,693501.75,54,1297982.6,1033357.0
55,708082.2000000001,55,1347636.6400000001,1056569.0800000008
56,722347.7999999999,56,1413042.0399999998,1088597.64
57,738314.2,57,1474794.0,1112368.2
58,755173.7999999999,58,1520914.7600000002,1153044.9999999995
59,771428.0,59,1591404.4,1232325.8
60,786559.05,60,1630446.52,1288203.04
61,803715.0,61,1685455.04,1335349.8399999999
62,818050.0,62,1766657.6400000001,1377694.12
63,836262.6000000001,63,1837344.0399999998,1408404.88
64,853676.75,64,1901575.6,1535450.6000000006
65,872634.0,65,2001967.3599999999,1597453.8000000003
66,891085.6500000001,66,2070887.7600000002,1617455.48
67,912112.6000000007,67,2161491.0,1685771.160000001
68,930801.6499999999,68,2249712.0,1733422.1199999985
69,951128.0,69,2348956.3999999976,1789257.0
70,972839.0,70,2415966.68,1839564.8800000001
71,993512.0,71,2513893.5999999987,1880773.48
72,1018648.1999999997,72,2601000.0,1951621.2800000003
73,1046744.5000000002,73,2729388.2399999974,2035806.0799999998
74,1076845.0,74,2845612.0,2118373.0
75,1108653.7999999998,75,2961506.9600000014,2186547.2800000003
76,1140370.6500000001,76,3185427.7600000007,2229317.12
77,1178695.9999999998,77,3356765.0400000033,2344395.4400000004
78,1217539.0,78,3565227.480000001,2476196.2399999998
79,1257642.0,79,3696930.0,2553556.8
80,1300500.0,80,3949287.960000001,2636246.72
81,1350656.5,81,4162062.32,2806223.9999999944
82,1399549.85,82,4438118.96,3096123.1999999993
83,1452000.0,83,4823799.4,3270993.56
84,1499472.75,84,5279554.799999999,3451617.599999999
85,1558441.7,85,5625082.24,3649533.64
86,1616085.0,86,6318206.599999992,3794740.4399999995
87,1686775.9999999995,87,7044280.000000016,4082398.040000002
88,1755054.2000000018,88,7803267.92,4582088.559999999
89,1831736.0,89,8736437.800000018,4978669.200000007
90,1937260.600000003,90,10681032.64,5184037.48
91,2056548.0,91,12468944.880000005,5611964.6
92,2209258.700000003,92,15431755.520000005,5988512.640000002
93,2387878.1999999993,93,20364212.959999975,7080162.239999993
94,2634980.5,94,23843280.19999996,7861301.999999998
95,2908160.7999999975,95,27814192.399999972,8465859.64
96,3311790.150000001,96,34596648.839999735,9525109.440000003
97,3982000.4,97,45661768.43999997,12883574.639999952
