,Property_Value,percentile
0,63079.85,0
1,74708.70000000001,1
2,81608.0,2
3,87951.0,3
4,93719.0,4
5,99775.5,5
6,106178.0,6
7,113449.8,7
8,121781.30000000002,8
9,130923.0,9
10,140006.0,10
11,150587.0,11
12,163321.15,12
13,175594.50000000003,13
14,188842.0,14
15,204394.00000000003,15
16,218437.95,16
17,231553.90000000002,17
18,245375.15,18
19,258848.0,19
20,272276.6,20
21,283432.9,21
22,297149.0,22
23,308794.0,23
24,321185.75,24
25,333330.7,25
26,344439.0,26
27,357225.2,27
28,367702.89999999997,28
29,378450.0,29
30,389308.70000000007,30
31,401388.2,31
32,413324.35,32
33,425859.0,33
34,437226.5,34
35,448118.4,35
36,459448.15,36
37,470528.0,37
38,481136.59999999986,38
39,493432.0,39
40,505645.79999999993,40
41,517634.4999999999,41
42,530302.85,42
43,542280.7999999999,43
44,554111.5,44
45,567240.8,45
46,580008.0,46
47,592035.0,47
48,606900.0,48
49,622468.5,49
50,635659.0,50
51,649167.0,51
52,663214.4000000001,52
53,678060.0,53
54,693501.75,54
55,708082.2000000001,55
56,722347.7999999999,56
57,738314.2,57
58,755173.7999999999,58
59,771428.0,59
60,786559.05,60
61,803715.0,61
62,818050.0,62
63,836262.6000000001,63
64,853676.75,64
65,872634.0,65
66,891085.6500000001,66
67,912112.6000000007,67
68,930801.6499999999,68
69,951128.0,69
70,972839.0,70
71,993512.0,71
72,1018648.1999999997,72
73,1046744.5000000002,73
74,1076845.0,74
75,1108653.7999999998,75
76,1140370.6500000001,76
77,1178695.9999999998,77
78,1217539.0,78
79,1257642.0,79
80,1300500.0,80
81,1350656.5,81
82,1399549.85,82
83,1452000.0,83
84,1499472.75,84
85,1558441.7,85
86,1616085.0,86
87,1686775.9999999995,87
88,1755054.2000000018,88
89,1831736.0,89
90,1937260.600000003,90
91,2056548.0,91
92,2209258.700000003,92
93,2387878.1999999993,93
94,2634980.5,94
95,2908160.7999999975,95
96,3311790.150000001,96
97,3982000.4,97
